ain,tocstatus,confirmtoc,include,abovetoc,linked,baseunder50,tract,jobs_idx,address,cp_casenum,full_approvetime,minus_holddays,holddays,zc_floorarea,total_units,aff_units,mr_units,pct_aff,councildistrict,tocdist,zipcode,lv2012,lv2020,lv2015,spadummy,redevdummy,geoid,medianhouseholdincome16,peroo16,persingfam16,medianhomevalue16,mediangrossrent16,cbddist,cp_filing,cp_complet,cp_approva,var39,permit_num,ladbs_subm,ladbs_perm,permitfeesubtotal,basementlevelsbc,basementlevelszc,undefinedaffordableunits,var47,moccgroup,retail,r2occgroupsqft,s2occgroupsqft,longtermbicycleparkingprovided,longtermbicycleparkingrequired,parkingrequiredautobicycle,providedcompact,provideddisabled,providedstandard,totalparking,parkingratio,shorttermbicycleparkingprovided,shorttermbicycleparkingrequired,constructiontype1,constructiontype2,constructiontype3,var65,multi_parcel,rectangle_ratio,n_vertices,neighbors,corner,corner_check,match_type,intersection,alley,ln_time,ln_units,affordable,ln_income,tocborder,half_mile_border,odd_lot,basement,parking_req_perunit,lnparking,nonTOCdisc,third_border,quarter_mile,moige,year,_merge
2210031012.0,Non-TOC Disc,,1,0,0,1.0,127210.0,38.666668,7639 N VAN NUYS BLVD,DIR-2016-2920-DB,659,659,,31359,36,4.0,32.0,0.11111111,6.0,-2195.7173,91405.0,973700.0,2909200.0,1905400.0,0.0,0.0,6037127210.0,42571.0,28.322784,26.42001,346400.0,1124.0,15.800388,8/10/2016,11/28/2016,4/12/2017,7639 N VAN NUYS BLVD,16010-20000-05567,12/8/2016,5/31/2018,"$164,024",0,0,0,0,0.0,0.0,32731.0,17271.0,36.0,36.0,32.0,21.0,2.0,29.0,52.0,1.4,4,4,I-A,III-A ,0,,,0.9998265,5.0,2.0,no,yes,address,0.0,0.0,6.4907236,3.583519,0.0,10.658929,1.0,1.0,0.0,0.0,0.8888889,3.9512436,1.0,,,matched (3),2016.0,matched (3)
2220005003.0,Non-TOC BR,,1,0,0,1.0,132300.0,18.0,14954 W SHERMAN WAY,,546,546,,24840,21,0.0,21.0,0.0,3.0,1254.474,91335.0,936000.0,2616100.0,1835200.0,0.0,1.0,6037132300.0,40242.0,32.459015,39.991978,367300.0,1083.0,18.716803,#N/A,#N/A,#N/A,14954 W SHERMAN WAY,16010-20000-03386,8/3/2016,1/31/2018,"$119,685",#N/A,#N/A,#N/A,0,0.0,0.0,25996.0,11588.0,22.0,21.0,40.0,14.0,1.0,21.0,36.0,1.7,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.99986374,7.0,1.0,yes,no,address,1.0,0.0,6.302619,3.0445225,0.0,10.602667,0.0,1.0,0.0,0.0,1.9047619,3.583519,0.0,1.0,1.0,matched (3),2016.0,matched (3)
2221021005.0,Non-TOC BR,,1,0,0,1.0,127104.0,24.0,14912 W WYANDOTTE ST,,607,607,,13055.75,10,1.0,9.0,0.1,2.0,-1959.6929,91405.0,973700.0,2909200.0,1905400.0,0.0,0.0,6037127104.0,40357.0,36.672184,33.794163,399600.0,1213.0,15.090141,#N/A,#N/A,#N/A,14912 W WYANDOTTE ST,16010-20000-05424,11/30/2016,7/30/2018,"$62,681",#N/A,#N/A,#N/A,No disabled - ok,0.0,0.0,13055.0,6170.0,10.0,10.0,19.0,9.0,0.0,10.0,19.0,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9999493,8.0,6.0,no,no,AIN,0.0,0.0,6.408529,2.3025851,0.0,10.60552,1.0,1.0,0.0,0.0,1.9,2.944439,0.0,,,matched (3),2016.0,matched (3)
2224004006.0,Non-TOC Disc,,1,0,0,1.0,132300.0,18.0,16030 W SHERMAN WAY,DIR-2017-2480-DB,999,939,,58997,54,7.0,47.0,0.12962963,3.0,1254.474,91335.0,936000.0,2616100.0,1835200.0,0.0,1.0,6037132300.0,40242.0,32.459015,39.991978,367300.0,1083.0,18.716803,6/21/2017,12/29/2017,7/3/2018,16030 W SHERMAN WAY,18010-20000-04581,9/19/2018,3/16/2020,"$240,780",#N/A,#N/A,#N/A,0,0.0,0.0,43499.0,25228.0,44.0,44.0,124.0,21.0,2.0,52.0,75.0,1.4,#N/A,#N/A,#N/A,#N/A,#N/A,,yes,0.98878825,11.0,2.0,no,yes,manual,0.0,0.0,6.8448153,3.988984,0.0,10.602667,0.0,1.0,0.0,0.0,2.2962964,4.317488,1.0,1.0,1.0,matched (3),2018.0,matched (3)
2237001017.0,Non-TOC Disc,,1,0,0,0.0,128102.0,24.5,6600 N VAN NUYS BLVD,DIR-2016-2062-DB-SPR-CDO,1084,733,,59770,54,6.0,48.0,0.11111111,6.0,-2978.473,91405.0,973700.0,2909200.0,1905400.0,0.0,0.0,6037128102.0,34583.0,20.612246,30.2521,378800.0,1163.0,14.893488,6/10/2016,#N/A,12/15/2017,6600 N VAN NUYS BLVD,16010-20000-05768,12/16/2016,5/30/2019,"$306,699",2,2,0,0,1580.0,1.0,58175.0,29800.0,58.0,58.0,135.0,16.0,3.0,57.0,76.0,1.4,10,10,I-A,0,0,,,0.9941802,8.0,1.0,yes,no,address,1.0,0.0,6.5971456,3.988984,0.0,10.4511175,1.0,,0.0,1.0,2.5,4.3307333,1.0,,,matched (3),2016.0,matched (3)
2239006030.0,Non-TOC Disc,,1,0,0,0.0,128220.0,20.5,13724 W VICTORY BLVD,CPC-2016-2612-VZC-SPR-DB,1113,1051,,61245,67,4.0,63.0,0.05970149,2.0,966.9222,91401.0,1594700.0,3676400.0,2502700.0,0.0,0.0,6037128220.0,45168.0,33.304424,43.12914,551700.0,1122.0,14.002289,7/25/2016,#N/A,5/2/2018,13724 W VICTORY BLVD,17010-20000-01245,3/24/2017,8/12/2019,"$357,285",0,1,0,0,0.0,0.0,65746.0,46617.0,69.0,69.0,162.0,14.0,3.0,67.0,84.0,1.3,9,9,I-A,III-A,0,,,0.9998736,7.0,4.0,no,no,address,0.0,0.0,6.9574976,4.204693,0.0,10.718144,0.0,1.0,0.0,1.0,2.4179103,4.4308167,1.0,1.0,1.0,matched (3),2017.0,matched (3)
2239023003.0,Non-TOC BR,,1,0,0,1.0,128601.0,30.0,6015 N WOODMAN AVE,,669,669,,12240,14,0.0,14.0,0.0,2.0,2575.74,91401.0,1594700.0,3676400.0,2502700.0,0.0,0.0,6037128601.0,40100.0,19.651163,26.131805,475000.0,1133.0,13.662558,#N/A,3/28/2018,#N/A,6015 N WOODMAN AVE,16010-20000-06148,12/23/2016,10/23/2018,"$68,285",#N/A,#N/A,#N/A,0,0.0,0.0,13240.0,6554.0,14.0,14.0,37.0,3.0,1.0,15.0,19.0,1.4,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.7677885,8.0,5.0,no,no,AIN,0.0,0.0,6.505784,2.6390574,0.0,10.599132,0.0,1.0,1.0,0.0,2.642857,2.944439,0.0,,,matched (3),2016.0,matched (3)
2240012014.0,Non-TOC Disc,,1,0,0,1.0,128210.0,28.5,6363 N TYRONE AVE,DIR-2018-63-DB-CDO,560,407,,39635,30,6.0,24.0,0.2,6.0,-1377.639,91401.0,1594700.0,3676400.0,2502700.0,0.0,0.0,6037128210.0,28087.0,3.2107024,11.118211,436400.0,1160.0,14.506991,1/5/2018,#N/A,8/17/2018,6363 N TYRONE AVE,17010-10000-03377,9/1/2017,3/15/2019,"$198,074",#N/A,#N/A,#N/A,Not the same street - ok,0.0,0.0,39635.0,11406.0,30.0,30.0,40.0,8.0,2.0,32.0,42.0,1.4,#N/A,#N/A,#N/A,#N/A,#N/A,,yes,0.99207085,13.0,6.0,yes,yes,manual,1.0,0.0,6.0088134,3.4011974,0.0,10.243062,1.0,1.0,0.0,0.0,1.3333334,3.7376697,1.0,1.0,,matched (3),2017.0,matched (3)
2240013006.0,Non-TOC BR,,1,0,0,1.0,128210.0,28.5,14222 W VICTORY BLVD,,764,764,,20011.4,18,3.0,15.0,0.16666667,6.0,-948.37994,91401.0,1594700.0,3676400.0,2502700.0,0.0,0.0,6037128210.0,28087.0,3.2107024,11.118211,436400.0,1160.0,14.46624,#N/A,#N/A,#N/A,14222 W VICTORY BLVD,17010-20000-01987,5/22/2017,6/25/2019,"$108,648",#N/A,#N/A,#N/A,0,0.0,0.0,21136.0,10369.0,18.0,18.0,54.0,16.0,1.0,17.0,34.0,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,,yes,0.9314498,21.0,1.0,yes,yes,manual,1.0,0.0,6.638568,2.8903718,0.0,10.243062,1.0,1.0,1.0,0.0,3.0,3.5263605,0.0,1.0,1.0,matched (3),2017.0,matched (3)
2241013013.0,Non-TOC Disc,,1,0,0,1.0,128303.0,38.5,14540 W ERWIN ST,DIR-2017-1079-DB-CDO,648,548,,46713,48,6.0,42.0,0.125,6.0,-1940.2153,91411.0,1503400.0,3818900.0,2643100.0,0.0,0.0,6037128303.0,24183.0,5.093834,8.5470085,,1095.0,14.643858,3/14/2017,#N/A,10/20/2017,14540 W ERWIN ST,17010-20000-00056,1/9/2017,10/19/2018,"$244,853",0,0,0,0,0.0,0.0,46173.0,15604.0,48.0,48.0,93.0,17.0,3.0,40.0,60.0,1.3,5,5,I-A,III-A,0,,no,0.6075037,6.0,3.0,no,yes,manual,0.0,0.0,6.3062754,3.871201,0.0,10.093405,1.0,1.0,1.0,0.0,1.9375,4.0943446,1.0,,,matched (3),2017.0,matched (3)
2241017010.0,TOC BR,1.0,1,0,0,1.0,128303.0,38.5,14848 W DELANO ST,,330,330,,11338.26,10,1.0,9.0,0.1,6.0,-66.63989,91411.0,1503400.0,3818900.0,2643100.0,0.0,0.0,6037128303.0,24183.0,5.093834,8.5470085,,1095.0,14.899316,#N/A,#N/A,#N/A,14848 W DELANO ST,18010-20000-01788,4/26/2018,3/22/2019,"$61,528",0,1,0,0,0.0,0.0,12122.0,5030.0,11.0,11.0,21.0,0.0,1.0,9.0,10.0,1.0,2,2,I-A,V-A,0,,,0.9999663,5.0,5.0,no,no,AIN,0.0,0.0,5.799093,2.3025851,0.0,10.093405,1.0,1.0,0.0,1.0,2.1,2.3025851,0.0,1.0,1.0,matched (3),2018.0,matched (3)
2241022003.0,Non-TOC BR,,1,0,0,1.0,128303.0,38.5,14612 W CALVERT ST,,357,357,,26463.3,19,0.0,19.0,0.0,6.0,-1749.5538,91411.0,1503400.0,3818900.0,2643100.0,0.0,0.0,6037128303.0,24183.0,5.093834,8.5470085,,1095.0,14.610769,#N/A,#N/A,#N/A,14612 W CALVERT ST,17010-20000-02238,6/8/2017,5/31/2018,"$127,015",#N/A,#N/A,#N/A,0,0.0,0.0,26647.0,9345.0,19.0,19.0,56.0,17.0,1.0,18.0,36.0,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9998524,10.0,8.0,no,no,address,0.0,0.0,5.8777356,2.944439,0.0,10.093405,1.0,1.0,0.0,0.0,2.9473684,3.583519,0.0,1.0,,matched (3),2017.0,matched (3)
2248004017.0,Non-TOC Disc,,1,0,0,1.0,128702.0,53.0,4806 N SYLMAR AVE,DIR-2017-2142-DB,601,601,,24061,11,1.0,10.0,0.09090909,4.0,-75.285484,91423.0,2221100.0,4615700.0,3483600.0,0.0,0.0,6037128702.0,68438.0,38.586754,35.22142,635400.0,1573.0,13.40951,5/31/2017,#N/A,6/8/2018,4806 N SYLMAR AVE,17010-10000-03233,8/23/2017,1/22/2019,"$116,734",#N/A,#N/A,#N/A,0,0.0,0.0,24061.0,8111.0,11.0,11.0,37.0,10.0,1.0,13.0,24.0,2.2,#N/A,#N/A,#N/A,#N/A,#N/A,,yes,0.9990925,26.0,5.0,no,yes,manual,0.0,0.0,6.398595,2.3978953,0.0,11.133683,1.0,1.0,0.0,0.0,3.3636363,3.1780539,1.0,1.0,1.0,matched (3),2017.0,matched (3)
2248005024.0,Non-TOC BR,,1,0,0,1.0,128702.0,53.0,14419 W RIVERSIDE DR,,765,765,,16132,12,0.0,12.0,0.0,4.0,-92.31723,91423.0,2221100.0,4615700.0,3483600.0,0.0,0.0,6037128702.0,68438.0,38.586754,35.22142,635400.0,1573.0,13.44874,#N/A,9/21/2017,#N/A,14419 W RIVERSIDE DR,16010-20000-05878,12/19/2016,1/23/2019,"$83,829",#N/A,#N/A,#N/A,0,0.0,0.0,16508.0,8270.0,12.0,12.0,18.0,6.0,1.0,11.0,18.0,1.5,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.7444658,11.0,3.0,yes,yes,AIN,1.0,0.0,6.639876,2.4849067,0.0,11.133683,1.0,1.0,1.0,0.0,1.5,2.8903718,0.0,1.0,1.0,matched (3),2016.0,matched (3)
2276041017.0,Non-TOC Disc,,1,0,0,1.0,141302.0,75.666664,4409 N SAUGUS AVE,ENV-2018-3792-CE,429,429,,20885,12,0.0,12.0,0.0,4.0,-1274.9191,91403.0,2112800.0,4411200.0,3348800.0,0.0,0.0,6037141302.0,84652.0,31.256418,25.605095,730400.0,1681.0,14.092196,6/27/2018,#N/A,9/14/2018,4409 N SAUGUS AVE,18010-30000-00552,2/12/2018,4/17/2019,"$99,291",#N/A,#N/A,#N/A,No Long-Term Provided - parking was probably provided since it was required - ok,0.0,0.0,22620.0,7940.0,0.0,12.0,24.0,12.0,1.0,11.0,24.0,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.95460045,6.0,22.0,no,yes,AIN,0.0,0.0,6.061457,2.4849067,0.0,11.346304,1.0,1.0,0.0,0.0,2.0,3.1780539,1.0,1.0,1.0,matched (3),2018.0,matched (3)
2276042001.0,Non-TOC BR,,1,0,0,1.0,702700.0,87.0,4383 N SEPULVEDA BLVD,,1065,1065,,18645,16,0.0,16.0,0.0,11.0,1852.448,90230.0,3298600.0,7373200.0,5382500.0,0.0,0.0,6037702700.0,120511.0,80.633,89.977394,866500.0,1439.0,9.41116,#N/A,#N/A,#N/A,4383 N SEPULVEDA BLVD,16010-20000-05644,12/14/2016,11/14/2019,"$95,100",#N/A,#N/A,#N/A,0,0.0,0.0,20005.0,9336.0,16.0,6.0,46.0,10.0,1.0,15.0,26.0,1.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.8475699,16.0,1.0,yes,no,AIN,1.0,0.0,6.9707303,2.7725887,0.0,11.699496,0.0,1.0,1.0,0.0,2.875,3.2580965,0.0,,,matched (3),2016.0,matched (3)
2284001016.0,Non-TOC Disc,,1,0,0,1.0,139701.0,81.8,4741 N LIBBIT AVE,DIR-2018-5437-DB,546,546,,64767,45,4.0,41.0,0.08888889,5.0,4024.9983,91436.0,1784300.0,3883300.0,2813000.0,0.0,0.0,6037139701.0,129196.0,74.43153,76.31704,887700.0,2418.0,15.384293,9/18/2018,11/12/2018,4/9/2019,4741 N LIBBIT AVE,18010-10000-03648,7/20/2018,1/17/2020,"$318,210",#N/A,#N/A,#N/A,No Long-Term Provided - parking was probably provided since it was required - ok,0.0,0.0,68257.0,33984.0,0.0,39.0,78.0,15.0,4.0,73.0,92.0,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.95374453,11.0,5.0,no,no,AIN,0.0,0.0,6.302619,3.8066626,0.0,11.769086,0.0,,0.0,0.0,1.7333333,4.5217886,1.0,,,matched (3),2018.0,matched (3)
2314007017.0,Non-TOC Disc,,1,0,0,1.0,122121.0,78.0,11065 W ARMINTA ST,APCNV-2015-476-ZC,1775,1733,,28572,20,0.0,20.0,0.0,6.0,-1212.355,91352.0,760300.0,2184300.0,1429700.0,0.0,0.0,6037122121.0,45667.0,44.657536,53.85621,392900.0,1060.0,13.3147335,2/2/2015,#N/A,10/2/2015,11065 W ARMINTA ST,16010-10000-05921,12/20/2016,12/13/2019,"$137,935",#N/A,#N/A,#N/A,0,0.0,0.0,29780.0,14572.0,40.0,20.0,45.0,26.0,2.0,24.0,52.0,2.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9993284,12.0,25.0,no,yes,AIN,0.0,0.0,7.457609,2.9957323,0.0,10.729131,1.0,1.0,0.0,0.0,2.25,3.9512436,1.0,1.0,1.0,matched (3),2016.0,matched (3)
2317017002.0,TOC DISC,1.0,1,0,0,0.0,122410.0,44.5,7401 N LANKERSHIM BLVD,DIR-2018-1500-TOC-SPR,776,776,,105283,108,9.0,99.0,0.083333336,2.0,-1317.6637,91605.0,927100.0,2766700.0,1850800.0,0.0,0.0,6037122410.0,27241.0,8.625592,16.048317,361800.0,1000.0,13.268956,3/16/2018,4/19/2018,7/23/2018,7401 N LANKERSHIM BLVD,17010-20000-02985,8/4/2017,9/19/2019,"$582,714",0,1,0,0,2071.0,1.0,108588.0,62909.0,82.0,82.0,90.0,44.0,6.0,102.0,152.0,1.4,13,13,I-A,V-A,0,,,0.9990517,7.0,3.0,no,yes,address,0.0,0.0,6.6541524,4.6821313,0.0,10.212479,1.0,1.0,0.0,1.0,0.8333333,5.0238805,0.0,1.0,1.0,matched (3),2017.0,matched (3)
2324029019.0,Non-TOC BR,,1,0,0,1.0,123700.0,19.75,6825 N WHITSETT AVE,,722,722,,11147,11,0.0,11.0,0.0,2.0,3216.798,91606.0,1333000.0,3413000.0,2351300.0,0.0,0.0,6037123700.0,54806.0,55.555557,67.18047,506500.0,1269.0,12.976021,#N/A,#N/A,#N/A,6825 N WHITSETT AVE,18010-10000-00264,1/23/2018,1/15/2020,"$60,379",2018,#N/A,#N/A,0,0.0,0.0,11147.0,5055.0,11.0,11.0,32.0,8.0,1.0,9.0,18.0,1.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.99958926,9.0,3.0,no,yes,AIN,0.0,0.0,6.582025,2.3978953,0.0,10.911555,0.0,,0.0,0.0,2.909091,2.8903718,0.0,,,matched (3),2018.0,matched (3)
2328012003.0,Non-TOC BR,,1,0,0,1.0,123510.0,17.5,13654 W BASSETT ST,,258,258,,17664,17,2.0,15.0,0.11764706,2.0,216.4704,91405.0,973700.0,2909200.0,1905400.0,0.0,0.0,6037123510.0,45397.0,30.159744,40.4733,486100.0,1086.0,14.381846,#N/A,12/8/2016,#N/A,13654 W BASSETT ST,18010-20000-02536,5/30/2018,2/12/2019,"$99,885",#N/A,#N/A,#N/A,0,0.0,0.0,17664.0,10815.0,20.0,19.0,49.0,15.0,1.0,19.0,35.0,2.1,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.99333096,15.0,2.0,yes,yes,AIN,1.0,0.0,5.5529594,2.8332133,0.0,10.723202,0.0,1.0,0.0,0.0,2.8823528,3.5553482,0.0,1.0,1.0,matched (3),2018.0,matched (3)
2328033043.0,Non-TOC BR,,1,0,0,1.0,123510.0,17.5,7040 N WOODMAN AVE,,548,548,,41590,22,0.0,22.0,0.0,2.0,215.06967,91405.0,973700.0,2909200.0,1905400.0,0.0,0.0,6037123510.0,45397.0,30.159744,40.4733,486100.0,1086.0,14.544568,#N/A,2/14/2017,#N/A,7040 N WOODMAN AVE,18010-20000-02922,6/13/2018,12/13/2019,"$223,987",#N/A,#N/A,#N/A,0,0.0,0.0,43093.0,16291.0,22.0,22.0,44.0,26.0,2.0,24.0,52.0,2.4,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.99950796,6.0,5.0,no,no,AIN,0.0,0.0,6.3062754,3.0910425,0.0,10.723202,0.0,1.0,0.0,0.0,2.0,3.9512436,0.0,1.0,1.0,matched (3),2018.0,matched (3)
2332021018.0,Non-TOC BR,,1,0,0,1.0,135113.0,93.0,12611 W OXNARD ST,,984,984,,16117.7,11,3.0,8.0,0.27272728,3.0,-2635.325,91367.0,1047500.0,2338200.0,1731300.0,1.0,0.0,6037135113.0,72337.0,12.789828,16.407833,222100.0,2089.0,21.947119,#N/A,#N/A,#N/A,12611 W OXNARD ST,17010-20000-00030,1/6/2017,9/17/2019,"$82,193",#N/A,#N/A,#N/A,0,0.0,0.0,17472.0,7202.0,12.0,11.0,30.0,9.0,1.0,12.0,22.0,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9998902,9.0,4.0,no,no,AIN,0.0,0.0,6.891626,2.3978953,0.0,11.189091,1.0,1.0,0.0,0.0,2.7272727,3.0910425,0.0,,,matched (3),2017.0,matched (3)
