"","x"
"434",483201
"435",263637
"436",268022
"437",452205
"438",260847
"439",291374
"440",330664
"441",672412
"442",343403
"443",473547
"444",260106
"445",348491
"446",421065
"447",379412
"448",365640
"449",363418
"450",379522
"451",293114
"452",262478
"453",296045
"454",331065
"455",264936
"456",370890
"457",505119
"458",253354
"459",335764
"460",460046
"461",274528
"462",303954
"463",302868
"464",283342
"465",261319
"466",367237
"467",354104
"468",376474
"469",549430
"470",371886
"471",305449
"472",304133
"473",297396
"474",308493
"475",304032
"476",410351
"477",410034
"478",266529
"479",343699
"480",309895
"481",441591
"482",326857
"483",282631
"484",300812
"485",331650
"486",298130
"487",277347
"488",270194
"489",359155
"490",266080
"491",393673
"492",438696
"493",353010
"494",355686
"495",300168
"496",488720
"497",373050
"498",358886
"499",306982
"500",336360
"501",257644
"502",270577
"503",339506
"504",338320
"505",408623
"506",306779
"507",482082
"508",286101
"509",275361
"510",329783
"511",258490
"512",268051
"513",346382
"514",284129
"515",349341
"516",386585
"517",460835
"518",282604
"519",253873
"520",519627
"521",675421
"522",481987
"523",256000
"524",758700
"525",340939
"526",317681
"527",312055
"528",343059
"529",302465
"530",509364
"531",346963
"532",250121
"533",330535
"534",387776
"535",318972
"536",326232
"537",350624
"538",267396
"539",287681
"540",295127
"541",356250
"542",293791
"543",267581
"544",355645
"545",251854
"546",345121
"547",291251
"548",284343
"549",319371
"550",311376
"551",432565
"552",329980
"553",342946
"554",297296
"555",415520
"556",258761
"557",356717
"558",253814
"559",345705
"560",262345
"561",277545
"562",490332
"563",374918
"564",271933
"565",294789
"566",466224
"567",264627
"568",279015
"569",306495
"570",320835
"571",446219
"572",348430
"573",326104
"574",315776
"575",325802
"576",269329
"577",304906
"578",258102
"579",263339
"580",314375
"581",296798
"582",341410
"583",273536
"584",334357
"585",280298
"586",277434
"587",288551
"588",407068
"589",284166
"590",423460
"591",287681
"592",509364
"593",336969
"594",255364
"595",409815
"596",377622
"597",358636
"598",320421
"599",280071
"600",265567
"601",275889
"602",355259
"603",286853
"604",297449
"605",358677
"606",296152
"607",281437
"608",656036
"609",346762
"610",306515
"611",443508
"612",566117
"613",255044
"614",436253
"615",300687
"616",300777
"617",255885
"618",258006
"619",355571
"620",295488
"621",387568
"622",272451
"623",379066
"624",454508
"625",427686
"626",548510
"627",325596
"628",401832
"629",353808
"630",349910
"631",400225
"632",367533
"633",270366
"634",344624
"635",545483
"636",369114
"637",335549
"638",367749
"639",277788
"640",385632
"641",335357
"642",272165
"643",503012
"644",250873
"645",407930
"646",334368
"647",270842
"648",327154
"649",255098
"650",348854
"651",271828
"652",573583
"653",307767
"654",358056
"655",262042
"656",298696
"657",511361
"658",454941
"659",452405
"660",297396
"661",288548
"662",268525
"663",716416
"664",361888
"665",259931
"666",267086
"667",271767
"668",270859
"669",480861
"670",327825
"671",398827
"672",365996
"673",307638
"674",254291
"675",273425
"676",265706
"677",279129
"678",361494
"679",283499
"680",301654
"681",376455
"682",337639
"683",296282
"684",266645
"685",331482
"686",267588
"687",322658
"688",263982
"689",266287
"690",278187
"691",356838
"692",351228
"693",267546
"694",300528
"695",326048
"696",252903
"697",334314
"698",328610
"699",295589
"700",498785
"701",305874
"702",275726
"703",334693
"704",355756
"705",326104
"706",291192
"707",261382
"708",374924
"709",320984
"710",338320
"711",637222
"712",430084
"713",325538
"714",277886
"715",297884
"716",283005
"717",310085
"718",367020
"719",423770
"720",406662
"721",278322
"722",278924
"723",417657
"724",286026
"725",403433
"726",317733
"727",386036
"728",446358
"729",282155
"730",383637
"731",457402
"732",664821
"733",391016
"734",334946
"735",352248
"736",352094
"737",409189
"738",294395
"739",356838
"740",262439
"741",283037
"742",268252
"743",252327
"744",374163
"745",314322
"746",256356
"747",284616
"748",348739
"749",346964
"750",305874
"751",462890
"752",327573
"753",265266
"754",293196
"755",368852
"756",353396
"757",374588
"758",598606
"759",340940
"760",305597
"761",346478
"762",341368
"763",295612
"764",336598
"765",308205
"766",357173
"767",457237
"768",284799
"769",363405
"770",259351
"771",257726
"772",465326
"773",356772
"774",364782
"775",329301
"776",254859
"777",400004
"778",304169
"779",503923
"780",340428
"781",349304
"782",323619
"783",357338
"784",283268
"785",572751
"786",315321
"787",265038
"788",276229
"789",366232
"790",338816
"791",367706
"792",263746
"793",282622
"794",300812
"795",357848
"796",251915
"797",278130
"798",257200
"799",283122
"800",580248
"801",519006
"802",365871
"803",336513
"804",382802
"805",332379
"806",362685
"807",386672
"808",617021
"809",373550
"810",354201
"811",363405
"812",378251
"813",352542
"814",316185
"815",292353
"816",304570
"817",361487
"818",333677
"819",343403
"820",286675
"821",378384
"822",274222
"823",342575
"824",344129
"825",255412
"826",262409
"827",291979
"828",270985
"829",267776
"830",308205
"831",306383
"832",291968
"833",271828
"834",407684
"835",290286
"836",437994
"837",343079
"838",406662
"839",353994
"840",344891
"841",286750
"842",596776
"843",298133
"844",264544
"845",588905
"846",517995
"847",296125
"848",640383
"849",334291
"850",318450
"851",344920
"852",291518
"853",369549
"854",264503
"855",362654
"856",339168
"857",504725
"858",262515
"859",423863
"860",420917
"861",253116
"862",304955
"863",395170
"864",353213
"865",470663
"866",282398
"867",298841
"868",306031
"869",306467
"870",375680
"871",316101
"872",293305
"873",611029
"874",363032
"875",322674
"876",254230
"877",361888
"878",393728
"879",437851
"880",495888
"881",549341
"882",408328
"883",251579
"884",326156
"885",250791
"886",328216
"887",400443
"888",250679
"889",295791
"890",339897
"891",371299
"892",421837
"893",338740
"894",315026
"895",314525
"896",286750
"897",310632
"898",251951
"899",746786
"900",308296
"901",413363
"902",296326
"903",386397
"904",550848
"905",295949
"906",376240
"907",400966
"908",404573
"909",356555
"910",381153
"911",329426
"912",320194
"913",312588
"914",404599
"915",291248
"916",258849
"917",510072
"918",263024
"919",306785
"920",340734
"921",288585
"922",313986
"923",254221
"924",387215
"925",407672
"926",347491
"927",449432
"928",288825
"929",260617
"930",430471
"931",416129
"932",285004
"933",256514
"934",275438
"935",361721
"936",306985
"937",511331
"938",278253
"939",299616
"940",306666
"941",379682
"942",446559
"943",324655
"944",289707
"945",348728
"946",348092
"947",288371
"948",259688
"949",327202
"950",260560
"951",370990
"952",452640
"953",395567
"954",321166
"955",307149
"956",280134
"957",456399
"958",263608
"959",263498
"960",469705
"961",302146
"962",253866
"963",261059
"964",333541
"965",312667
"966",329603
"967",281021
"968",275385
"969",385591
"970",257621
"971",656036
"972",488720
"973",305692
"974",256609
"975",266510
"976",358975
"977",434710
"978",278403
"979",275943
"980",289403
"981",269060
"982",449354
"983",308144
"984",356838
"985",296066
"986",401335
"987",270379
"988",355569
"989",256211
"990",348038
"991",397831
"992",340110
"993",317360
"994",425627
"995",282680
"996",399449
"997",368561
"998",406078
"999",304175
"1000",357962
"1001",341643
"1002",417136
"1003",336763
"1004",335481
"1005",341539
"1006",344060
"1007",286750
"1008",296999
"1009",460835
"1010",284737
"1011",309620
"1012",275421
"1013",302149
"1014",416338
"1015",370615
"1016",301853
"1017",296738
"1018",279272
"1019",301614
"1020",377757
"1021",364310
"1022",264936
"1023",367329
"1024",397346
"1025",424079
"1026",261979
"1027",291407
"1028",353358
"1029",423561
"1030",403671
"1031",370494
"1032",267012
"1033",379798
"1034",301948
"1035",274809
"1036",299635
"1037",688355
"1038",349795
"1039",324019
"1040",350979
"1041",373403
"1042",328697
"1043",345493
"1044",277700
"1045",250679
"1046",299050
"1047",282948
"1048",315065
"1049",381851
"1050",312667
"1051",343925
"1052",398843
"1053",288049
"1054",401104
"1055",287306
"1056",332588
"1057",262778
"1058",262511
"1059",250967
"1060",285432
"1061",317219
"1062",376680
"1063",587310
"1064",273308
"1065",386378
"1066",311671
"1067",354591
"1068",308334
"1069",314823
"1070",260782
"1071",628797
"1072",260019
"1073",324637
"1074",302195
"1075",379118
"1076",340917
"1077",315128
"1078",316093
"1079",250051
"1080",298635
"1081",287988
"1082",363418
"1083",278870
"1084",263568
"1085",421449
"1086",319149
"1087",290528
"1088",282680
"1089",252714
"1090",341294
"1091",424988
"1092",379118
"1093",398067
"1094",364099
"1095",291374
"1096",345497
"1097",315877
"1098",289653
"1099",253438
"1100",376973
"1101",311184
"1102",275190
"1103",331894
"1104",363591
"1105",267859
"1106",366416
"1107",337768
"1108",308144
"1109",282304
"1110",257250
"1111",398931
"1112",362062
"1113",256755
"1114",360799
"1115",252752
"1116",443508
"1117",290267
"1118",303867
"1119",291429
"1120",297154
"1121",340718
"1122",286310
"1123",272425
"1124",374764
"1125",293136
"1126",305147
"1127",402397
"1128",315640
"1129",632613
"1130",282023
"1131",414994
"1132",339863
"1133",499249
"1134",252058
"1135",299705
"1136",270142
"1137",266043
"1138",259425
"1139",283033
"1140",298249
"1141",251229
"1142",305498
"1143",445758
"1144",282913
"1145",348491
"1146",416164
"1147",371987
"1148",318518
"1149",296509
"1150",473133
"1151",321666
"1152",330695
"1153",313022
"1154",295591
"1155",255004
"1156",254221
"1157",450580
"1158",325390
"1159",269186
"1160",251854
"1161",279297
"1162",275094
"1163",279524
"1164",323006
"1165",363130
"1166",314646
"1167",265275
"1168",250135
"1169",349190
"1170",270324
"1171",372967
"1172",273929
"1173",255847
"1174",263728
"1175",278230
"1176",305379
"1177",349633
"1178",506329
"1179",275034
"1180",297248
"1181",262245
"1182",349691
"1183",445168
"1184",266135
"1185",300379
"1186",392502
"1187",316183
"1188",330132
"1189",323309
"1190",271274
"1191",253860
"1192",362589
"1193",309580
"1194",349365
"1195",376936
"1196",343847
"1197",516337
"1198",284651
"1199",312966
"1200",373952
"1201",319831
"1202",268234
"1203",323790
"1204",319733
"1205",273792
"1206",343068
"1207",257574
"1208",267955
"1209",272240
"1210",255476
"1211",276515
"1212",332355
"1213",391591
"1214",432376
"1215",571853
"1216",327434
"1217",1184622
"1218",361631
"1219",254773
"1220",308064
"1221",275364
"1222",304710
"1223",265657
"1224",258298
"1225",360814
"1226",340940
"1227",337064
"1228",271550
"1229",250157
"1230",913447
"1231",283602
"1232",328669
"1233",261375
"1234",310045
"1235",316211
"1236",476573
"1237",267107
"1238",275517
"1239",375482
"1240",251572
"1241",319842
"1242",332401
"1243",254211
"1244",336643
"1245",272428
"1246",288592
"1247",266439
"1248",276868
"1249",277444
"1250",632593
"1251",271379
"1252",595000
"1253",349148
"1254",340091
"1255",265116
"1256",296728
"1257",342458
"1258",269300
"1259",277024
"1260",703067
"1261",257200
"1262",292472
"1263",286732
"1264",279288
"1265",389254
"1266",303867
"1267",266084
"1268",290740
"1269",255582
"1270",329005
"1271",363134
"1272",308709
"1273",257295
"1274",338345
"1275",262617
"1276",376072
"1277",348430
"1278",320451
"1279",484475
"1280",329792
"1281",301614
"1282",291407
"1283",476391
"1284",306225
"1285",292023
"1286",749105
"1287",256864
"1288",265083
"1289",255702
"1290",260782
"1291",284080
"1292",306108
"1293",381645
"1294",352628
"1295",250263
"1296",380357
"1297",342164
"1298",339473
"1299",381153
"1300",300816
"1301",286487
"1302",305597
"1303",459465
"1304",274657
"1305",317175
"1306",366066
"1307",349368
"1308",286824
"1309",373263
"1310",543922
"1311",353881
"1312",258517
"1313",329530
"1314",273818
"1315",256522
"1316",282660
"1317",292465
"1318",355320
"1319",318259
"1320",413297
"1321",420282
"1322",498325
"1323",272910
"1324",342164
"1325",361280
"1326",447579
"1327",308995
"1328",348690
"1329",349230
"1330",415354
"1331",276310
"1332",266529
"1333",265807
"1334",282461
"1335",414991
"1336",338316
"1337",391329
"1338",287658
"1339",394820
"1340",420749
"1341",482732
"1342",256019
"1343",348144
"1344",320513
"1345",323155
"1346",414871
"1347",261382
"1348",304212
"1349",267431
"1350",346122
"1351",310158
"1352",257910
"1353",283760
"1354",281907
"1355",365683
"1356",437281
"1357",259643
"1358",325493
"1359",427965
"1360",377798
"1361",258752
"1362",327435
"1363",301199
"1364",359292
"1365",323790
"1366",368476
"1367",367655
"1368",385452
"1369",349028
"1370",293091
"1371",324960
"1372",252930
"1373",505980
"1374",549349
"1375",319054
"1376",297094
"1377",297544
"1378",286970
"1379",316261
"1380",306352
"1381",254547
"1382",313243
"1383",306967
"1384",339388
"1385",410913
"1386",285575
"1387",496025
"1388",382764
"1389",259284
"1390",286836
"1391",256014
"1392",396758
"1393",271276
"1394",304872
"1395",319733
"1396",351187
"1397",375114
"1398",373469
"1399",339667
"1400",287983
"1401",332243
"1402",291547
"1403",295117
"1404",562558
"1405",308239
"1406",391192
"1407",642830
"1408",435022
"1409",268575
"1410",269354
"1411",394727
"1412",443546
"1413",258888
"1414",337766
"1415",251243
"1416",415847
"1417",323790
"1418",287031
"1419",292217
"1420",401623
"1421",283122
"1422",260254
"1423",523095
"1424",323706
"1425",316470
"1426",383518
"1427",266668
"1428",347519
"1429",336088
"1430",269583
"1431",436770
"1432",383493
"1433",401051
"1434",325596
"1435",335997
"1436",436493
"1437",704108
"1438",341204
"1439",391121
"1440",256963
"1441",289430
"1442",305053
"1443",320510
"1444",557082
"1445",273287
"1446",317153
"1447",302859
"1448",333651
"1449",324546
"1450",337195
"1451",250647
"1452",477106
"1453",279129
"1454",297449
"1455",377401
"1456",253759
"1457",269654
"1458",293076
"1459",369781
"1460",263224
"1461",280362
"1462",301031
"1463",254493
"1464",370733
"1465",364913
"1466",301568
"1467",315406
"1468",269243
"1469",471452
"1470",305597
"1471",311671
"1472",298885
"1473",387430
"1474",280167
"1475",257750
"1476",342730
"1477",338376
"1478",334308
"1479",298155
"1480",403552
"1481",426001
"1482",303051
"1483",464536
"1484",451996
"1485",353012
"1486",321822
"1487",324506
"1488",356689
"1489",260199
"1490",316211
"1491",308691
"1492",334427
"1493",342824
"1494",315643
"1495",342768
"1496",280344
"1497",325658
"1498",505980
"1499",362795
"1500",264600
"1501",321758
"1502",454614
"1503",260696
"1504",357954
"1505",301867
"1506",359259
"1507",290504
"1508",284021
"1509",277974
"1510",313022
"1511",406603
"1512",314310
"1513",259785
"1514",270889
"1515",336951
"1516",295589
"1517",289980
"1518",313986
"1519",473748
"1520",258120
"1521",353824
"1522",271665
"1523",338816
"1524",506858
"1525",265628
"1526",265535
"1527",265097
"1528",276087
"1529",306784
"1530",434102
"1531",387641
"1532",263130
"1533",262882
"1534",393945
"1535",343403
"1536",310864
"1537",279667
"1538",281030
"1539",283945
"1540",454989
"1541",391349
"1542",273230
"1543",358373
"1544",267891
"1545",375868
"1546",413373
"1547",537222
"1548",300829
"1549",361138
"1550",291052
"1551",327723
"1552",345122
"1553",363296
"1554",595000
"1555",454508
"1556",269068
"1557",266530
"1558",273010
"1559",378723
"1560",293287
"1561",250217
"1562",577521
"1563",255675
"1564",339588
"1565",424012
"1566",325732
"1567",264663
"1568",308373
"1569",321851
"1570",319280
"1571",284763
"1572",376483
"1573",402778
"1574",304791
"1575",254746
"1576",325538
"1577",431426
"1578",252024
"1579",604506
"1580",292803
"1581",286989
"1582",359766
"1583",360096
"1584",337286
"1585",365613
"1586",371827
"1587",564135
"1588",303462
"1589",250201
"1590",255454
"1591",386040
"1592",410240
"1593",269722
"1594",327886
"1595",407618
"1596",284317
"1597",299505
"1598",267161
"1599",327886
"1600",333664
"1601",290641
"1602",283004
"1603",282830
"1604",427781
"1605",334291
"1606",288551
"1607",289991
"1608",320277
"1609",254973
"1610",346975
"1611",394503
"1612",282944
"1613",259840
"1614",342448
"1615",469907
"1616",400630
"1617",255685
"1618",503675
"1619",306233
"1620",444089
"1621",341346
"1622",343403
"1623",287480
"1624",281565
"1625",297906
"1626",274111
"1627",291374
"1628",280927
"1629",254146
"1630",287598
"1631",345122
"1632",357619
"1633",435835
"1634",284916
"1635",512103
"1636",314153
"1637",362999
"1638",346693
"1639",277256
"1640",284166
"1641",716066
"1642",259351
"1643",284403
"1644",340475
"1645",487486
"1646",484298
"1647",317443
"1648",335453
"1649",318329
"1650",381583
"1651",345360
"1652",479765
"1653",299080
"1654",318647
"1655",343646
"1656",266635
"1657",315110
"1658",350181
"1659",260801
"1660",444743
"1661",271962
"1662",285865
"1663",259087
"1664",405177
"1665",483596
"1666",347166
"1667",333305
"1668",347321
"1669",318865
"1670",376028
"1671",398904
"1672",292264
"1673",303973
"1674",287988
"1675",330144
"1676",324601
"1677",358461
"1678",354929
"1679",357691
"1680",525878
"1681",423250
"1682",308924
"1683",276247
"1684",285295
"1685",265266
"1686",538443
"1687",383493
"1688",254134
"1689",254989
"1690",298225
"1691",276624
"1692",351141
"1693",378747
"1694",493034
"1695",354923
"1696",393712
"1697",394612
"1698",273206
"1699",332355
"1700",292933
"1701",299507
"1702",434292
"1703",295791
"1704",496382
"1705",376483
"1706",328301
"1707",301614
"1708",432154
"1709",263200
"1710",528616
"1711",272950
"1712",352606
"1713",331556
"1714",268620
"1715",278736
"1716",255647
"1717",291362
"1718",331651
"1719",515025
"1720",394474
"1721",400535
"1722",337505
"1723",396790
"1724",252187
"1725",256466
"1726",287031
"1727",261943
"1728",433491
"1729",421223
"1730",277390
"1731",358893
"1732",333910
"1733",428350
"1734",254413
"1735",375675
"1736",326342
"1737",446358
"1738",305319
"1739",253759
"1740",339482
"1741",455995
"1742",265638
"1743",310101
"1744",659273
"1745",318639
"1746",308945
"1747",403865
"1748",435604
"1749",425092
"1750",290640
"1751",452924
"1752",392160
"1753",309513
"1754",361888
"1755",301762
"1756",541737
"1757",374262
"1758",382146
"1759",340458
"1760",350661
"1761",323605
"1762",371064
"1763",444822
"1764",290754
"1765",423024
"1766",445940
"1767",336513
"1768",280169
"1769",286789
"1770",287160
"1771",281678
"1772",377725
"1773",273435
"1774",261278
"1775",334132
"1776",308812
"1777",275421
"1778",256263
"1779",283806
"1780",370990
"1781",299422
"1782",468706
"1783",357028
"1784",291386
"1785",322614
"1786",287908
"1787",309630
"1788",428584
"1789",359131
"1790",283338
"1791",348416
"1792",379046
"1793",284395
"1794",288433
"1795",972354
"1796",281704
"1797",384795
"1798",366324
"1799",273435
"1800",274724
"1801",361481
"1802",459189
"1803",289364
"1804",348099
"1805",286282
"1806",403550
"1807",498216
"1808",269733
"1809",318822
"1810",277328
"1811",410034
"1812",608184
"1813",272944
"1814",259532
"1815",334346
"1816",300104
"1817",271521
"1818",315640
"1819",316820
"1820",304386
"1821",259719
"1822",252153
"1823",306215
"1824",355918
"1825",282964
"1826",312197
"1827",332187
"1828",255109
"1829",255830
"1830",263498
"1831",357348
"1832",269657
"1833",389755
"1834",388811
"1835",382272
"1836",256866
"1837",312271
"1838",353881
"1839",300584
"1840",274057
"1841",260960
"1842",356934
"1843",301210
"1844",444219
"1845",343721
"1846",433788
"1847",586657
"1848",251905
"1849",263831
"1850",355789
"1851",311914
"1852",344060
"1853",285200
"1854",351040
"1855",1226583
"1856",328216
"1857",273828
"1858",664670
"1859",447346
"1860",326886
"1861",326400
"1862",504725
"1863",342752
"1864",311350
"1865",427055
"1866",285885
"1867",316849
"1868",561334
"1869",312015
"1870",270517
"1871",276840
"1872",337825
"1873",499001
"1874",255004
"1875",313181
"1876",369825
"1877",302845
"1878",256191
"1879",791084
"1880",274398
"1881",255822
"1882",297449
"1883",393264
"1884",264968
"1885",318106
"1886",359985
"1887",352056
"1888",356934
"1889",271714
"1890",917220
"1891",430084
"1892",508548
"1893",275223
"1894",381931
"1895",360393
"1896",263340
"1897",294292
"1898",511289
"1899",302406
"1900",340917
"1901",333230
"1902",304960
"1903",292592
"1904",330132
"1905",258037
"1906",349066
"1907",416577
"1908",253814
"1909",512992
"1910",262233
"1911",306678
"1912",308945
"1913",377757
"1914",329426
"1915",270517
"1916",295922
"1917",407669
"1918",285457
"1919",283635
"1920",322931
"1921",431745
"1922",282611
"1923",427862
"1924",289731
"1925",256362
"1926",282612
"1927",357720
"1928",313853
"1929",294485
"1930",637080
"1931",385959
"1932",313729
"1933",431861
"1934",274679
"1935",348960
"1936",354739
"1937",326862
"1938",292962
"1939",296466
"1940",323069
"1941",334409
"1942",311255
"1943",671292
"1944",310152
"1945",253060
"1946",442612
"1947",374833
"1948",335453
"1949",277700
"1950",394447
"1951",494638
"1952",276864
"1953",273324
"1954",319854
"1955",408229
"1956",431307
"1957",302406
"1958",459007
"1959",372181
"1960",338320
"1961",353696
"1962",342907
"1963",312232
"1964",256671
"1965",363219
"1966",291547
"1967",308945
"1968",296453
"1969",298834
"1970",266710
"1971",390369
"1972",257250
"1973",355978
"1974",376929
"1975",297767
"1976",259479
"1977",307404
"1978",282153
"1979",287548
"1980",285200
"1981",314375
"1982",274746
"1983",517000
"1984",333676
"1985",313038
"1986",366531
"1987",325537
"1988",250499
"1989",339163
"1990",421446
"1991",305352
"1992",296485
"1993",390817
"1994",548361
"1995",266707
"1996",311569
"1997",322691
"1998",269168
"1999",648223
"2000",298695
"2001",313729
"2002",312771
"2003",258102
"2004",254367
"2005",406641
"2006",255486
"2007",522881
"2008",395567
"2009",268598
"2010",263729
"2011",266400
"2012",433669
"2013",294295
"2014",461678
"2015",252284
"2016",256737
"2017",262570
"2018",278924
"2019",342768
"2020",354104
"2021",362912
"2022",308944
"2023",416059
"2024",281030
"2025",259307
"2026",303986
"2027",254746
"2028",282642
"2029",260543
"2030",309566
"2031",369678
"2032",254270
"2033",250051
"2034",284078
"2035",317761
"2036",329266
"2037",259931
"2038",321205
"2039",276096
"2040",290560
"2041",307315
"2042",374524
"2043",295649
"2044",473836
"2045",318915
"2046",320294
"2047",400285
"2048",283731
"2049",298659
"2050",320510
"2051",344157
"2052",273771
"2053",262656
"2054",290660
"2055",317434
"2056",745768
"2057",302603
"2058",289886
"2059",312206
"2060",344858
"2061",268276
"2062",257942
"2063",357943
"2064",256916
"2065",401723
"2066",296282
"2067",347834
"2068",250639
"2069",394927
"2070",370767
"2071",352005
"2072",258819
"2073",340110
"2074",523067
"2075",320421
"2076",295589
"2077",370548
"2078",340269
"2079",302945
"2080",262749
"2081",508891
"2082",303942
"2083",273929
"2084",406920
"2085",281792
"2086",292639
"2087",358837
"2088",350680
"2089",281209
"2090",290306
"2091",315423
"2092",486332
"2093",418176
"2094",262744
"2095",255004
"2096",318644
"2097",285432
"2098",417419
"2099",257216
"2100",301614
"2101",308691
"2102",370156
"2103",398220
"2104",337456
"2105",274797
"2106",359249
"2107",354529
"2108",298871
"2109",303637
"2110",256211
"2111",266084
"2112",369527
"2113",464945
"2114",266337
"2115",252168
"2116",264924
"2117",280639
"2118",255334
"2119",328216
"2120",349154
"2121",268797
"2122",280146
"2123",454508
"2124",402361
"2125",273569
"2126",405793
"2127",476653
"2128",277022
"2129",409230
"2130",351161
"2131",324386
"2132",275703
"2133",262885
"2134",257500
"2135",488706
"2136",272944
"2137",251854
"2138",343721
"2139",282023
"2140",274690
