University,Hours to Complete
CSUF,169.7971461
CSUF,152.7301421
CSULB,183.7377117
CSULB,175.0867708
CSULB,184.3713698
CSULB,159.0315479
CSULB,164.4427081
CSULB,187.9361841
CSULB,167.9830665
CSULB,184.7009914
CSULB,197.8091696
CSULB,170.2245098
CSULB,188.8629269
CSULB,196.1536832
CSULB,170.3459562
CSULB,184.609818
CSULB,145.9398578
CSULB,174.1715662
CSULB,173.7003767
CSULB,179.3593379
CSULB,176.1444185
CSULB,190.3113676
CSULB,207.1410768
CSULB,188.2090173
CSULB,160.5588268
CSULB,181.1384753
CSULB,173.3209185
CSULB,185.9093118
CSULB,194.6239269
CSULB,175.2609022
CSULB,170.6398358
CSULB,223.7230375
CSULB,217.2082952
CSULB,174.2170767
CSULB,179.0556362
CSULB,165.2978691
CSULB,216.0235833
CSULB,157.0214208
CSULB,164.5737004
CSULB,179.1255601
CSULB,180.8897403
CSULB,171.9269105
CSULB,165.857491
CSULB,170.6838916
CSULB,164.5696585
CSULB,180.1076222
CSULB,181.375925
CSULB,193.8519337
CSULB,173.9651409
CSULB,167.9849909
CSULB,151.5031786
CSULB,152.566532
CSULB,141.3258609
CSULB,159.6991208
CSULB,174.8972935
CSULB,153.688158
CSULB,190.280773
CSULB,140.8702312
CSULB,190.8272988
CSULB,171.3974302
CSULB,191.3259657
CSULB,173.5884885
CSULB,171.9800647
CSULB,163.1883922
CSULB,168.2078697
CSULB,158.6051774
CSULB,177.6002193
CSULB,139.143713
CSULB,183.3286961
CSULB,125.9709613
CSULB,180.8482561
CSULB,161.6208049
CSULB,162.9525608
CSULB,203.8350093
CSULB,158.9747298
CSULB,171.4645127
CSULB,182.3785458
CSULB,161.2595429
CSULB,155.5466824
CSULB,197.9931145
CSULB,214.5569116
CSULB,165.9513431
CSULB,165.1125525
CSULB,174.8832696
CSULB,177.9759566
CSULB,181.3668294
CSULB,193.398794
CSULB,203.5337289
CSULB,169.9304702
CSULB,149.7099081
CSULB,163.6118544
CSULB,170.8556513
CSULB,168.8042094
CSULB,152.1444944
CSULB,203.6883016
CSULB,155.1925603
CSULB,175.8819672
CSULB,200.3716805
CSULB,174.5508512
CSULB,155.3238008
CSULB,184.3459852
CSULB,178.2577358
CSULB,163.8819654
CSULB,181.8940195
CSULB,212.2850613
CSULB,146.1352755
CSULB,213.5411891
CSULB,179.7297566
CSULB,164.536563
CSULB,166.420971
CSULB,138.3047385
CSULB,200.8469557
CSULB,167.3954671
CSULB,168.9787228
CSULB,149.8044967
CSULB,201.3099756
CSULB,169.4185011
CSULB,197.2648189
CSULB,170.8225629
CSULB,185.9431844
CSULB,176.0544756
CSULB,175.0534271
CSULB,205.2550904
CSULB,191.021592
CSULB,191.5992677
CSULB,165.2774305
CSULB,179.503536
CSULB,166.6006988
CSULB,166.8330143
CSULB,185.4489083
CSULB,136.6208775
CSULB,168.8551127
CSULB,174.3273221
CSULB,185.9471776
CSULB,188.2749324
CSULB,168.6069962
CSULB,171.1961816
CSULB,150.091993
CSULB,174.6951124
CSULB,163.2894793
CSULB,160.5445133
CSULB,173.1931343
CSULB,174.5346147
CSULB,170.3235398
CSULB,169.8622343
CSULB,160.8258467
CSULB,173.3375949
CSULB,177.0369095
CSULB,173.5786366
CSULB,193.7177113
CSULB,167.8754964
CSULB,136.8409571
CSULB,183.4176356
CSULB,156.966325
CSULB,187.643537
CSULB,186.8690236
CSULB,128.0670068
CSULB,167.9659561
CSULB,182.083581
CSULB,163.6370455
CSULB,199.9625796
CSULB,146.1858846
CSULB,170.7642285
CSULB,189.9257487
CSULB,197.9124361
CSULB,205.2330937
CSULB,186.331526
CSULB,199.2115985
CSULB,165.9690795
CSULB,153.6036905
CSULB,158.6368608
CSULB,164.147209
CSULB,161.5712719
CSULB,189.6077471
CSULB,199.7384769
CSULB,163.5221447
CSULB,151.6803673
CSULB,165.6166294
CSULB,162.8805395
CSULB,162.0583668
CSULB,168.0511963
CSULB,138.4864667
CSULB,157.6040457
CSULB,147.3670807
CSULB,188.8035685
CSULB,160.961959
CSULB,177.9846714
CSULB,142.6587322
CSULB,153.5144938
CSULB,156.9032225
CSULB,165.0141659
CSULB,163.6700938
CSULB,166.8705637
CSULB,175.2519099
CSULB,185.9909322
CSULB,140.8280868
CSULB,163.5818739
CSULB,171.9316452
CSULB,162.7168057
CSULB,141.3710364
